leccion,intento,valor,fecha
Lección 2,1,9.0,2025-05-11T15:16:10.220018
Lección 1,1,8.0,2025-05-11T15:48:09.918699
Lección 1,2,8.0,2025-05-11T16:08:27.264540
Lección 1,3,8.5,2025-05-11T16:48:41.132406
Lección 1,4,8.0,2025-05-11T16:52:56.757707
Lección 1,5,4.0,2025-05-11T17:03:20.082600
Lección 1,6,7.0,2025-05-11T17:06:54.728798
Lección 1,7,10.0,2025-05-11T17:08:25.815436
Lección 2,2,9.0,2025-05-11T17:17:54.200264
Lección 2,3,0.0,2025-05-11T17:30:08.564652
Lección 2,4,5.0,2025-05-11T17:54:35.365399
Lección 1,8,2.5,2025-05-12T05:57:57.433795
Lección 1,9,4.5,2025-05-12T06:07:03.376143
Lección 2,5,0.0,2025-05-12T06:15:23.684964
Lección 2,6,4.0,2025-05-12T06:22:26.570295
Lección 2,7,0.0,2025-05-12T06:29:14.137306
Lección 2,8,5.0,2025-05-12T06:32:10.844841
Lección 2,9,3.0,2025-05-12T06:52:31.799158
Lección 2,10,3.0,2025-05-12T06:55:56.126439
Lección 3,1,2.5,2025-05-12T06:59:42.020034
